turn,decision,weather_hint,visibility_hint,terrain_hint,trend,uncertainty,functional_capacity,fatigue,exposure,water,food,flags
1,wait,2,2,1,stable,medium,89,15,16,9,9,-
2,wait,2,2,1,stable,medium,88,12,22,8,8,-
3,wait,1,0,1,stable,high,86,9,28,7,7,-
4,wait,1,1,1,stable,medium,85,6,36,6,6,-
5,wait,3,1,3,worsening,high,83,3,46,5,5,-
6,wait,2,0,2,worsening,medium,81,0,56,4,4,-
7,wait,3,1,2,worsening,low,79,0,66,3,3,-
8,wait,3,0,3,worsening,medium,77,0,76,2,2,critical-exposure
9,wait,3,0,2,worsening,low,75,0,86,1,1,critical-exposure
10,wait,3,1,3,worsening,high,60,0,96,0,0,water-depleted|food-depleted|critical-exposure
11,wait,3,1,3,worsening,low,45,0,100,-1,-1,water-depleted|food-depleted|critical-exposure
12,wait,2,0,2,worsening,medium,30,0,100,-2,-2,water-depleted|food-depleted|critical-exposure
